train,tractor,car,ambulance
submarine,van,bus,school_bus
bicycle,van,bus,school_bus
airplane,bulldozer,motorbike,truck
school_bus,police_car,ambulance,firetruck
helicopter,sailboat,submarine,cruise_ship
bicycle,bulldozer,motorbike,bus
pickup_truck,van,police_car,car
ice_cream,cookie,cake,donut
cookie,popsicle,ice_cream,lollipop
duck,sheep,lion,dog
bee,dog,sheep,bear
shark,bee,spider,ant
bird,giraffe,elephant,dog
snake,lion,dog,monkey
octopus,shark,fish,dolphin
sea_turtle,fish,whale,shark
rhinoceros,lion,tiger,bear
snail,monkey,kangaroo,camel
mouse,parrot,penguin,flamingo
tiger,rhinoceros,zebra,giraffe
elephant,mouse,hedgehog,rabbit
pig,tiger,lion,bear
whale,parrot,bat,bird
fish,cat,mouse,raccoon
bird,fish,bat,bee
giraffe,bird,bat,bee
mosquito,bear,whale,elephant
blackberry,broccoli,string_bean,mushroom
blackberry,carrot,mushroom,broccoli
blueberry,carrot,broccoli,string_bean
grapes,lantern,broccoli,carrot
apple,mushroom,broccoli,carrot
pear,carrot,mushroom,string_bean
carrot,apple,pineapple,pear
mushroom,watermelon,strawberry,grapes
broccoli,apple,blueberry,pear
carrot,donut,lollipop,ice_cream
broccoli,popsicle,ice_cream,cake
watermelon,birthday_cake,cake,cookie
mushroom,bread,hamburger,sandwich
grapes,lollipop,cake,cookie
pear,popsicle,ice_cream,cake
apple,birthday_cake,donut,cake
blackberry,pizza,bread,hamburger
pineapple,lollipop,cake,cookie
broccoli,pizza,sandwich,hamburger
popsicle,carrot,lantern,mushroom
pizza,apple,grapes,pear
motorbike,car,van,bus
car,sailboat,submarine,cruise_ship
bird,dolphin,octopus,shark
tennis_racquet,soccer_ball,baseball,basketball
basketball,tennis_racquet,golf_club,baseball_bat
foot,mouth,eye,tooth
eye,hand,foot,nail
hand,eye,mouth,ear
nail,skull,moustache,face
clock,dishwasher,washing_machine,microwave
tornado,star,sun,moon
rainbow,star,sun,moon
sun,lightning,rain,cloud
star,rain,tornado,snowflake
trombone,harp,violin,guitar
drums,clarinet,trombone,saxophone
skyscraper,barn,beach,mountain
hospital,the_great_wall_of_china,castle,the_eiffel_tower
hospital,bridge,lighthouse,river
jail,windmill,barn,house
church,river,bridge,beach
sweater,shoe,flip_flops,sock
underwear,t-shirt,jacket,sweater
sweater,t-shirt,jacket,hat
bracelet,t-shirt,sweater,shorts
purse,sock,jacket,underwear
eyeglasses,bracelet,diamond,crown
crown,wristwatch,purse,eyeglasses
sweater,belt,hat,bowtie
toilet,microwave,dishwasher,stove
eraser,marker,crayon,pencil
scissors,marker,crayon,pencil
mountain,tent,campfire,sleeping_bag
beach,tent,campfire,sleeping_bag
apple,wine_bottle,grapes,wine_glass
television,alarm_clock,clock,hourglass
hourglass,clock,wristwatch,alarm_clock
bed,toaster,microwave,dishwasher
anvil,garden_hose,shovel,rake
toothbrush,fork,teapot,frying_pan
umbrella,toothpaste,toilet,toothbrush
wine_bottle,knife,spoon,fork
lipstick,syringe,bandage,stethoscope
boomerang,baseball,basketball,soccer_ball
canoe,hot_air_balloon,parachute,airplane
steak,hamburger,sandwich,bread
coffee_cup,sandwich,bread,pizza
broccoli,watermelon,strawberry,apple
mushroom,pear,blackberry,pineapple
grapes,broccoli,string_bean,carrot
lantern,baseball,basketball,soccer_ball
pineapple,blueberry,blackberry,strawberry
megaphone,pencil,backpack,book
fork,rifle,axe,sword
cactus,leaf,bush,tree
mermaid,shark,whale,fish
crocodile,rabbit,pig,raccoon
crab,dolphin,fish,whale
lobster,fish,shark,dolphin
dragon,bear,lion,elephant
flamingo,zebra,mouse,cat
sheep,swan,flamingo,duck
snail,bee,mosquito,bat
piano,guitar,harp,violin
drums,clarinet,saxophone,trombone
hat,sock,shoe,flip_flops
jacket,bracelet,wristwatch,necklace
tent,eraser,marker,pencil
pillow,crayon,postcard,envelope
stop_sign,drill,hammer,saw
stereo,screwdriver,rake,axe
book,sun,moon,star
house,cloud,rain,rainbow
boomerang,skateboard,skateboard,rollerskates
helmet,bed,stove,toilet
lipstick,spoon,fork,frying_pan
mountain,hospital,church,house
stethoscope,teapot,microwave,toaster
